id,day,created_by,modified_by,created_date,modified_date,active_from,active_to,is_active_flag
1,Monday,revolutio_admin2.antarescentral,revolutio_admin2.antarescentral,2024-09-26 19:01:11,2024-09-26 19:01:11,2024-09-26 19:01:11,2099-07-05 00:00:00,Yes
2,Tuesday,revolutio_admin2.antarescentral,revolutio_admin2.antarescentral,2024-09-26 19:01:11,2024-09-26 19:01:11,2024-09-26 19:01:11,2099-07-05 00:00:00,Yes
3,Wednesday,revolutio_admin2.antarescentral,revolutio_admin2.antarescentral,2024-09-26 19:01:11,2024-09-26 19:01:11,2024-09-26 19:01:11,2099-07-05 00:00:00,Yes
4,Thursday,revolutio_admin2.antarescentral,revolutio_admin2.antarescentral,2024-09-26 19:01:11,2024-09-26 19:01:11,2024-09-26 19:01:11,2099-07-05 00:00:00,Yes
5,Friday,revolutio_admin2.antarescentral,revolutio_admin2.antarescentral,2024-09-26 19:01:11,2024-09-26 19:01:11,2024-09-26 19:01:11,2099-07-05 00:00:00,Yes
6,Saturday,revolutio_admin2.antarescentral,revolutio_admin2.antarescentral,2024-09-26 19:01:11,2024-09-26 19:01:11,2024-09-26 19:01:11,2099-07-05 00:00:00,Yes
7,Sunday,revolutio_admin2.antarescentral,revolutio_admin2.antarescentral,2024-09-26 19:01:11,2024-09-26 19:01:11,2024-09-26 19:01:11,2099-07-05 00:00:00,Yes
